ID,RECON_id,CNS_name,CS_number,A_B,objects,LHS,RA_hr,RA_min,RA_sec,DEC_degrees,DEC_min,DEC_sec,DEC_ref,ProperMo_arcsec_year,ProperMo_direction_degree,ProperMo_ref,trig_par,trig_par2,trig_par_ref,spectral_type,spectral_type2,spectral_type_ref,V_magnitude,Mv_abds_mag,mass_est,notes1,notes2,notes3,common_name
83,59,GJ,526,,1,47,13,45,43.8,14,53,29,H,2.298,129.3,H,0.18472,0.00074,YHG,M1.0,V,*,8.46,9.79,0.53,,,,Wolf 498
84,60,GJ,169.1,A,2,26,4,31,11.8,58,58,38,H,2.427,147.6,H,0.18052,0.00078,YH,M4.0,V,*,11.04,12.32,0.2,,,,Stein 2051
85,60,GJ,169.1,B,-,27,4,31,11.8,58,58,38,,2.427,147.6,,0.18052,0.00078,,DC5,,N,12.43,13.71,0.5,separ,at,"ion 8""",
86,61,GJ,251,,1,1879,6,54,49,33,16,5,H,0.831,241.3,H,0.17811,0.00143,YH,M3.0,V,*,10.02,11.27,0.34,,,,
87,62,2M,A 1835+3,259,1,,18,35,37.9,32,59,54,M,0.759,186.1,U,0.1765,0.0005,U,M8.5,V,,18.27,19.5,0.07,,,,Reid et al. 2003
88,63,GJ,205,,1,30,5,31,27.4,-3,40,38,H,2.228,160,H,0.17599,0.00104,YH,M1.0,V,*,7.95,9.18,0.57,,,,Wolf 1453
89,64,LP,816-060,,1,,20,52,33,-16,58,29,H,0.308,275.7,H,0.17503,0.0034,H,M3.5,V,*,11.5,12.72,0.19,,,,
90,65,2M,A 0415-0,935,1,,4,15,19.5,-9,35,7,M,2.255,76.5,U,0.17434,0.00276,U,T8.0,V,,,,0.03,,,,Vrba et al. 2004
91,66,GJ,764,,1,477,19,32,21.6,69,39,40,H,1.839,161,H,0.17379,0.00018,YH,G9.0,V,G,4.67,5.87,0.89,,,,sigma Draconis
92,67,GJ,229,A,2,1827,6,10,34.6,-21,51,53,H,0.727,190.9,H,0.17377,0.00097,YH,M1.5,V,*,8.14,9.34,0.56,,,,
93,67,GJ,229,B,-,,6,10,34.6,-21,51,53,,0.727,190.9,,0.17377,0.00097,,T6.0,V,,,,0.03,separ,at,"ion 8""",
94,68,GJ,213,,1,31,5,42,9.3,12,29,22,H,2.542,128.2,H,0.1715,0.001,YHG,M4.0,V,*,11.57,12.74,0.18,,,,Ross 47
95,69,GJ,693,,1,454,17,46,34.2,-57,19,9,H,1.756,219.6,H,0.1711,0.00222,YH,M3.0,V,*,10.76,11.93,0.26,,,,
96,70,GJ,752,A,2,473,19,16,55.3,5,10,8,H,1.452,203.5,H,0.17096,0.00052,YHTTP,o M2.5,V,*,9.1,10.26,0.5,,,,Wolf 1055
97,70,GJ,752,B,-,474,19,16,58.3,5,9,1,H,1.461,203.1,N,0.17096,0.00052,,M8.0,V,*,17.45,18.61,0.07,separ,at,"ion 74""",van Biesbroeck 10
98,71,GJ,570,A,4,387,14,57,28,-21,24,56,H,2.012,149.1,H,0.17062,0.00067,YHS,K4.0,V,G,5.64,6.8,0.78,,,,
99,71,GJ,570,B,-,386,14,57,26.5,-21,24,41,H,1.937,149.4,H,0.17062,0.00067,,M1.5,VJ,*,8.3,9.46,0.55,separ,at,"ion 22""",
100,71,GJ,570,C,-,,14,57,26.5,-21,24,41,,1.937,149.4,,0.17062,0.00067,,M,V,-,9.96,11.12,0.36,orbit,<,"2""",
101,71,GJ,570,D,-,,14,57,15,-21,21,50,,2.012,149.1,,0.17062,0.00067,,T7.0,V,,,,0.03,separ,at,"ion 258""",
102,72,GJ,754,,1,60,19,20,48,-45,33,27,N,2.945,167.3,N,0.16917,0.00153,*Y,M4.0,V,*,12.23,13.37,0.16,,,,Jao et al. 2005
103,73,GJ,588,,1,397,15,32,12.9,-41,16,32,H,1.564,228.9,H,0.16852,0.00127,YH,M2.5,V,*,9.31,10.44,0.46,,,,
104,74,GJ,1005,A,2,1047,0,15,28.1,-16,8,2,H,0.955,130.3,H,0.16835,0.0009,YSHe,M3.5,VJ,*,11.6,12.73,0.18,,,,
105,74,GJ,1005,B,-,,0,15,28.1,-16,8,2,,0.955,130.3,,0.16835,0.0009,,M,V,-,14.02,15.15,0.11,orbit,<,"2""",
106,75,GJ,34,A,2,123,0,49,6.3,57,48,55,H,1.223,117.2,H,0.16823,0.00046,YH,G3,V,N,3.46,4.59,1.11,,,,eta Cassiopei A
107,75,GJ,34,B,-,122,0,49,6.3,57,48,55,,1.223,117.2,,0.16823,0.00046,,K7.0,V,*,7.21,8.34,0.6,orbit,1,"2""",eta Cassiopei B
108,76,GJ,663,A,3,437,17,15,21,-26,36,10,H,1.238,202.5,H,0.16812,0.0004,YYHH,K1.5,VJ,G,5.07,6.2,0.85,,,,36 Ophiuchi A
109,76,GJ,663,B,-,438,17,15,21,-26,36,10,,1.238,202.5,,0.16812,0.0004,,K,V,-,5.08,6.21,0.85,orbit,1,"4""",36 Ophiuchi B
110,76,GJ,664,,-,439,17,16,13.4,-26,32,46,H,1.222,203.1,H,0.16812,0.0004,,K5.0,V,G,6.32,7.45,0.71,separ,at,"ion 732""",36 Ophiuchi C
111,77,GJ,908,,1,550,23,49,12.5,2,24,4,H,1.388,134.2,H,0.16802,0.00118,YH,M1.0,V,*,8.98,10.11,0.51,,,,
112,78,GJ,285,,1,1943,7,44,40.2,3,33,9,H,0.568,217.4,H,0.16719,0.00205,YH,M4.0,V,*,11.19,12.31,0.2,,,,Ross 882
113,79,GJ,783,A,2,486,20,11,11.9,-36,6,4,H,1.64,163.8,H,0.16626,0.00027,YH,K2.5,V,G,5.31,6.42,0.82,,,,
114,79,GJ,783,B,-,487,20,11,11.9,-36,6,4,,1.64,163.8,,0.16626,0.00027,,M4.0,V,*,11.5,12.61,0.19,separ,at,"ion 7""",
115,80,GJ,139,,1,19,3,19,55.6,-43,4,11,H,3.124,76.6,H,0.16547,0.00019,YH,G8.0,V,G,4.26,5.35,0.97,,,,82 Eridani
116,81,GJ,1221,,1,455,17,48,6.7,70,52,29,N,1.651,311,N,0.1647,0.0024,Y,DXP9,,N,14.22,15.3,0.5,,,,
117,82,GJ,338,A,2,260,9,14,22.8,52,41,12,H,1.634,249.8,H,0.16373,0.00252,YHH,M0.0,V,*,7.64,8.71,0.6,,,,
118,82,GJ,338,B,-,261,9,14,24.7,52,41,11,H,1.684,247.1,H,0.16373,0.00252,,K7.0,V,*,7.7,8.77,0.6,orbit,1,"7""",
119,83,GJ,780,,1,485,20,8,43.6,-66,10,55,H,1.656,133,H,0.16371,0.00017,YH,G8.0,IV,G,3.55,4.62,1.1,,,,delta Pavonis
120,84,GJ,268,A,2,226,7,10,1.8,38,31,46,H,1.045,204.9,H,0.16341,0.00178,YH,M4.5,VJ,*,12.05,13.12,0.17,,,,QY Aurigae A
121,84,GJ,268,B,-,,7,10,1.8,38,31,46,,1.045,204.9,,0.16341,0.00178,,M,V,-,12.45,13.52,0.16,orbit,<,"2""",QY Aurigae B
122,85,2M,A 0937+2,931,1,,9,37,34.9,29,31,41,M,1.622,143.1,U,0.1633,0.0016,USc,T6.0,V,,,,0.03,,,,Vrba et al. 2004
123,86,GJ,784,,1,3531,20,13,53.4,-45,9,50,H,0.794,101.6,H,0.16135,0.00099,YH,M0.0,V,*,7.95,8.99,0.58,,,,
124,87,GJ,555,,1,2945,14,34,16.8,-12,31,10,H,0.694,329,H,0.16078,0.00198,YH*,M4.0,V,*,11.32,12.35,0.2,,,,HN Librae
125,88,GJ,896,A,2,3965,23,31,52.2,19,56,14,H,0.558,96.4,H,0.15988,0.00153,YHW,M3.5,V,*,10.27,11.29,0.33,,,,EQ Pegasi
126,88,GJ,896,B,-,3966,23,31,52.2,19,56,14,,0.558,96.4,,0.15988,0.00153,,M4.5,V,*,12.21,13.43,0.16,orbit,7,"""",
127,89,GJ,581,,1+4P,394,15,19,26.8,-7,43,20,H,1.229,265.4,H,0.1578,0.00176,YH*,M3.0,V,*,10.57,11.56,0.3,,,,Wolf 562
128,90,LH,S 2090,,1,2090,9,0,23.6,21,50,5,*,0.774,221.2,*,0.15687,0.00267,*,M6.0,V,*,16.1,17.08,0.09,,,,Henry et al. 2006
129,91,LH,S 337,,1,337,12,38,49.1,-38,22,54,*,1.464,206.4,*,0.15678,0.00199,*,M4.0,V,*,12.75,13.73,0.15,,,,Henry et al. 2006
130,92,GJ,661,A,2,433,17,12,7.9,45,39,57,H,1.625,168.4,H,0.15632,0.00128,YS,M3.0,VJ,*,9.93,10.9,0.39,,,,
131,92,GJ,661,B,-,434,17,12,7.9,45,39,57,,1.625,168.4,,0.15632,0.00128,,M,V,-,10.35,11.32,0.33,orbit,<,"2""",
132,93,GJ,223.2,,1,32,5,55,9.7,-4,10,17,N,2.377,166.6,N,0.15605,0.00075,Y**,DZ9,,N,14.47,15.44,0.5,,,,WD 0552-041
133,94,G,180-060,,1,,16,31,18.4,40,51,54,N,0.358,330,N,0.156,0.004,Du,M5.0,V,,14.76,15.73,0.1,,,,
134,95,GJ,644,A,5,428,16,55,28.8,-8,20,11,H,1.208,223.3,H,0.15496,0.00052,YYHS*,M2.5,VJ,*,9.72,10.67,0.42,,,,Wolf 630 A
135,95,GJ,644,B,-,,16,55,28.8,-8,20,11,,1.208,223.3,,0.15496,0.00052,,M,V,-,10.37,11.32,0.33,orbit,<,"2""",Wolf 630 B
136,95,GJ,644,D,-,,16,55,28.8,-8,20,11,,1.208,223.3,,0.15496,0.00052,,M,V,-,10.87,11.82,0.27,orbit,<,"2""",Wolf 630 C
137,95,GJ,644,C,-,429,16,55,35.8,-8,23,40,H,1.19,222.5,N,0.15496,0.00052,,M7.0,V,*,16.78,17.73,0.08,separ,at,"ion 221""",van Biesbroeck 8
138,95,GJ,643,,-,427,16,55,25.2,-8,19,21,H,1.21,222.3,H,0.15496,0.00052,,M3.0,V,*,11.8,12.75,0.18,separ,at,"ion 72""",Wolf 629
139,96,GJ,625,,1,,16,25,24.6,54,18,15,H,0.465,111.5,H,0.15314,0.00092,YH,M1.5,V,*,10.1,11.03,0.37,,,,
140,97,GJ,1128,,1,271,9,42,46.4,-68,53,6,,1.121,356.7,*,0.15305,0.00241,*,M4.0,V,*,12.74,13.66,0.15,,,,Jao et al. 2005
141,98,GJ,1156,,1,324,12,19,0.3,11,7,31,N,1.301,279.1,N,0.1529,0.003,Y,M4.5,V,*,13.8,14.72,0.12,,,,GL Virginis
142,99,GJ,892,,1,71,23,13,17,57,10,6,H,2.095,81.9,H,0.15284,0.00028,YH,K3.0,V,G,5.57,6.49,0.81,,,,
143,100,LH,S 3003,,1,3003,14,56,38.5,-28,9,51,N,0.965,210.1,N,0.15249,0.00202,YT*,M7.0,V,*,17.05,17.97,0.08,,,,
